party,list_type,bezirk,list_pos,name,source
linke,bezirk,12,4,Noah Keilmann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,12,5,Gülistan Erdil,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,01,1,Mathias Schulz,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,01,2,Dr. Maja Lasić,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,01,3,Lucy Merle Demers,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,01,4,Federico Quadrelli,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,01,5,Susanne Fischer,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,02,1,Sevim Aydin,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,02,2,Sven Heinemann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,02,3,Dr. Britt Schlünz,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,02,4,Thomas Giebel,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,02,5,Dora Oswald,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,03,1,Rona Tietje,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,03,2,Dennis Buchner,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,03,3,Annette Unger,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,03,4,Tino Schopf,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,03,5,Linda Vierecke,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,04,1,Florian Dörstelmann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,04,2,Dr. Ann-Kathrin Biewener,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,04,3,Timur Sarić,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,04,4,Dr. Claudia Buß,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,04,5,Nicola Aleksander Kaufmann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,05,1,Raed Saleh,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,05,2,Sebahat Atli,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,05,3,Stephan Machulik,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,05,4,Susanne Drescher,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,05,5,Marco Rumza,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,06,1,Steffen Krach,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,06,2,Dr. Ina Czyborra,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,06,3,Martin Matz,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,06,4,Mirjam Golm,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,06,5,Norbert Buchta,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,07,1,Wiebke Neumann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,07,2,Orkan Özdemir,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,07,3,Melanie Kühnemann-Grunow,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,07,4,Michael Biel,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,07,5,Annette Hertlein,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,08,1,Derya Çağlar,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,08,2,Marcel Hopp,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,08,3,Charlotte Mende,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,08,4,Joachim Rahmann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,08,5,Anne Roever,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,09,1,Julia Dittmar,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,09,2,Alexander Freier-Winterwerb,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,09,3,Ellen Haußdörfer,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,09,4,Paul Bahlmann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,09,5,Sara Rüdiger,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,10,1,Iris Spranger,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,10,2,Jan Lehmann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,10,3,Dr. Luise Lehmann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,10,4,Enrico Bloch,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,10,5,Maria Geidel-Künne,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
