"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"19:32:11";23;14;"GEM";"15089015";"Aschersleben, Stadt";"U";9452;5447;66;5381;780;2942;371;303;96;246;43;10;82;21;12;39;397;14;25;61;5386;859;2923;451;355;127;104;;;;;;;506;61;;;""
"L";;;3;0;"GEM";"15089015";"Aschersleben, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0;;;""
"Z";"06.09.2026";"19:32:11";26;14;"GEM";"15089015";"Aschersleben, Stadt";"";9452;5447;66;5381;780;2942;371;303;96;246;43;10;82;21;12;39;397;14;25;61;5386;859;2923;451;355;127;104;;;;;;;506;61;;;""
"Z";"06.09.2026";"19:22:36";13;4;"GEM";"15089026";"Barby, Stadt";"U";790;546;6;540;78;308;35;34;12;31;7;0;7;0;3;4;18;0;3;6;540;103;313;42;39;16;13;;;;;;;14;;;;""
"L";;;1;0;"GEM";"15089026";"Barby, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;""
"Z";"06.09.2026";"19:22:36";14;4;"GEM";"15089026";"Barby, Stadt";"";790;546;6;540;78;308;35;34;12;31;7;0;7;0;3;4;18;0;3;6;540;103;313;42;39;16;13;;;;;;;14;;;;""
"Z";"06.09.2026";"19:34:05";23;19;"GEM";"15089030";"Bernburg (Saale), Stadt";"U";19814;11390;143;11247;1671;5895;954;740;401;607;67;21;150;47;31;74;537;13;39;189;11201;2310;6114;1235;612;712;218;;;;;;;;;;;""
"L";;;4;0;"GEM";"15089030";"Bernburg (Saale), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;""
"Z";"06.09.2026";"19:34:05";27;19;"GEM";"15089030";"Bernburg (Saale), Stadt";"";19814;11390;143;11247;1671;5895;954;740;401;607;67;21;150;47;31;74;537;13;39;189;11201;2310;6114;1235;612;712;218;;;;;;;;;;;""
"Z";"06.09.2026";"19:17:14";2;1;"GEM";"15089041";"Bördeaue";"U";857;563;9;554;82;300;42;39;12;24;6;0;7;4;0;2;33;0;3;6;557;158;291;34;24;19;4;;;;;;;27;;;;""
