party,list_type,bezirk,list_pos,name,person_id,wkr_direct,source,is_placeholder
cdu,bezirk,03,3,Johannes Kraft,be:cdu:person:johannes kraft,1,https://www.cdupankow.de/Fuer-das-Abgeordnetenhaus_p_127.html,0
cdu,bezirk,03,4,Lars Bocian,be:cdu:person:lars bocian,14,https://www.cdupankownord.de/Unsere-Kandidaten_p_35.html,0
cdu,bezirk,03,5,Denise Bittner,be:cdu:person:denise bittner,5,https://www.cdupankow.de/Fuer-das-Abgeordnetenhaus_p_127.html,0
cdu,bezirk,03,6,Alexander Meyer,be:cdu:person:alexander meyer,,https://www.cdupankow.de/Fuer-das-Abgeordnetenhaus_p_127.html,0
cdu,bezirk,03,7,Prof. Dr. Antje Tölle,be:cdu:person:antje toelle,,https://www.cdupankow.de/Fuer-das-Abgeordnetenhaus_p_127.html,0
cdu,bezirk,03,8,David Paul,be:cdu:person:david paul,9,https://www.cdupankow.de/Fuer-das-Abgeordnetenhaus_p_127.html,0
cdu,bezirk,03,9,Sabrina Hohl,be:cdu:person:sabrina hohl,,https://www.cdupankow.de/Fuer-das-Abgeordnetenhaus_p_127.html,0
cdu,bezirk,04,1,Dr. Felor Badenberg,be:cdu:person:felor badenberg,7,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html,0
cdu,bezirk,04,2,Ariturel Hack,be:cdu:person:ariturel hack,2,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html,0
cdu,bezirk,04,3,Sandra Khalatbari,be:cdu:person:sandra khalatbari,5,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html,0
cdu,bezirk,04,4,Kevin Steuer,be:cdu:person:kevin steuer,3,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html,0
cdu,bezirk,04,5,Vivien-Nathalie Keilbar,be:cdu:person:vivien-nathalie keilbar,1,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html,0
cdu,bezirk,04,6,Peer Mock-Stümer,be:cdu:person:peer mock-stuemer,6,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html,0
cdu,bezirk,04,7,Aldona Niemczyk,be:cdu:person:aldona niemczyk,4,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html,0
cdu,bezirk,04,8,Joachim Krüger,be:cdu:person:joachim krueger,,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html,0
cdu,bezirk,04,9,Nilüfer Bakkal,be:cdu:person:niluefer bakkal,,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html,0
cdu,bezirk,04,10,Mario Röllig,be:cdu:person:mario roellig,,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html,0
cdu,bezirk,05,1,Kai Wegner,be:cdu:person:kai wegner,33,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,2,Heiko Melzer,be:cdu:person:heiko melzer,32,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,3,Bettina Meißner,be:cdu:person:bettina meissner,29,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,4,Kerstin Brauner,be:cdu:person:kerstin brauner,31,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,5,Dr. Ersin Nas,be:cdu:person:ersin nas,30,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,6,Max Grüninger,be:cdu:person:max grueninger,,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,7,Beate Bathe,be:cdu:person:beate bathe,,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,8,Stefan Putzger,be:cdu:person:stefan putzger,,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,9,Silke Lehmann,be:cdu:person:silke lehmann,,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,10,Anastasia Vidojkovic,be:cdu:person:anastasia vidojkovic,,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,11,Christian König-Tumpiya,be:cdu:person:christian koenig-tumpiya,,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,12,Jörg Mollenhauer,be:cdu:person:joerg mollenhauer,,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,05,13,Ulrike Billerbeck,be:cdu:person:ulrike billerbeck,,https://www.cdu-spandau.de/presse/lokal/292/Wahl-Parteitag-der-CDU-Spandau-Kai-Wegner-auf-Platz-Eins-.html,0
cdu,bezirk,06,1,Cornelia Seibeld,be:cdu:person:cornelia seibeld,37,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,2,Tom Cywinski,be:cdu:person:tom cywinski,35,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,3,Stephan Standfuß,be:cdu:person:stephan standfuss,40,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,4,Dr. Claudia Wein,be:cdu:person:claudia wein,34,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,5,Jens Hoffmann,be:cdu:person:jens hoffmann,36,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,6,Marco Hahnfeld,be:cdu:person:marco hahnfeld,38,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,7,Christoph Wegener,be:cdu:person:christoph wegener,39,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,8,Dr. Marela Bone-Winkel,be:cdu:person:marela bone-winkel,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,9,Iris Gertig,be:cdu:person:iris gertig,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,10,Sebastian Voigt,be:cdu:person:sebastian voigt,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,11,Jörg Schumacher,be:cdu:person:joerg schumacher,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,12,Henriette Kauer,be:cdu:person:henriette kauer,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,13,Christine Mögling,be:cdu:person:christine moegling,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,14,André Bossy,be:cdu:person:andre bossy,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,15,Isabelle Thomsen,be:cdu:person:isabelle thomsen,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,16,Dr. Christof Hasenburg,be:cdu:person:christof hasenburg,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,17,Dr. Laura Langner,be:cdu:person:laura langner,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,18,Norman Hähmel,be:cdu:person:norman haehmel,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,19,Sascha Schwarz,be:cdu:person:sascha schwarz,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,20,Bastian Hirsch,be:cdu:person:bastian hirsch,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,06,21,Kai Miederer,be:cdu:person:kai miederer,,https://www.cdusz.de/ueber-uns/kandidaten2026/,0
cdu,bezirk,09,1,Maik Penn,be:cdu:person:maik penn,7,https://www.penn-tk.de/news/lokal/1242/Parteitag-der-CDU-Treptow-Koepenick-.html,0
cdu,bezirk,09,2,Stefan Evers,be:cdu:person:stefan evers,4,https://www.penn-tk.de/news/lokal/1242/Parteitag-der-CDU-Treptow-Koepenick-.html,0
