"wahlkreisnummer16","gemeindekennziffer","gemeindename"
"18","13076079","Kuhstorf"
"32","13076080","Langen Brütz"
"32","13076082","Leezen"
"19","13076084","Leussow"
"31","13076085","Lewitzrand"
"19","13076086","Lübesse"
"19","13076087","Lüblow"
"17","13076088","Lübtheen, Stadt"
"31","13076089","Lübz, Stadt"
"19","13076090","Ludwigslust, Stadt"
"17","13076092","Lüttow-Valluhn"
"17","13076093","Malk Göhren"
"17","13076094","Malliß"
"31","13076095","Marnitz"
"32","13076096","Mestlin"
"19","13076097","Milow"
"19","13076098","Möllenbeck"
"18","13076099","Moraas"
"19","13076100","Muchow"
"32","13076101","Mustin"
"17","13076102","Neu Gülze"
"17","13076103","Neu Kaliß"
"32","13076104","Neu Poserin"
"19","13076105","Neustadt-Glewe, Stadt"
"17","13076106","Nostorf"
"18","13076107","Pampow"
"31","13076108","Parchim, Stadt"
"31","13076109","Passow"
"18","13076110","Pätow-Steegen"
"18","13076111","Picher"
"32","13076112","Pinnow"
"32","13076113","Plate"
"31","13076114","Plau am See, Stadt"
"19","13076115","Prislich"
"18","13076116","Pritzier"
"32","13076117","Raben Steinfeld"
"19","13076118","Rastow"
"18","13076119","Redefin"
"31","13076120","Rom"
"18","13076121","Schossin"
"17","13076122","Schwanheide"
"18","13076123","Setzin"
"31","13076125","Siggelkow"
"31","13076126","Spornitz"
"32","13076128","Sternberg, Stadt"
"31","13076129","Stolpe"
"18","13076130","Stralendorf"
"18","13076131","Strohkirchen"
"31","13076132","Suckow"
"32","13076133","Sukow"
"19","13076134","Sülstorf"
"32","13076135","Techentin"
"17","13076136","Teldau"
"31","13076137","Tessenow"
"17","13076138","Tessin b. Boizenburg"
"18","13076139","Toddin"
"32","13076140","Tramm"
"19","13076141","Uelitz"
"17","13076142","Vellahn"
"17","13076143","Vielank"
"18","13076145","Warlitz"
"19","13076146","Warlow"
"18","13076147","Warsow"
"32","13076148","Weitendorf"
"31","13076151","Werder"
"18","13076152","Wittenburg, Stadt"
"18","13076153","Wittendörp"
"18","13076154","Wittenförden"
"32","13076155","Witzin"
"19","13076156","Wöbbelin"
"32","13076158","Zapel"
"17","13076159","Zarrentin am Schaalsee, Stadt"
"31","13076160","Ziegendorf"
"19","13076161","Zierzow"
"31","13076162","Zölkow"
"18","13076163","Zülow"
"31","13076164","Obere Warnow"
"31","13076165","Gehlsbach"
"31","13076166","Ganzlin"
"32","13076167","Kloster Tempzin"
"17","13076752","Briefwahl Boizenburg-Land"
"17","13076754","Briefwahl Dömitz-Malliß"
"31","13076755","Briefwahl Eldenburg Lübz"
"32","13076756","Briefwahl Goldberg-Mildenitz"
"19","13076757","Briefwahl Amt Grabow"
"18","13076758","Briefwahl Hagenow-Land"
"19","13076759","Briefwahl Ludwigslust-Land"
"19","13076760","Briefwahl Neustadt-Glewe"
"31","13076762","Briefwahl Parchimer Umland"
"31","13076763","Briefwahl Plau am See"
"32","13076764","Briefwahl Sternberger Seenlandschaft"
"18","13076765","Briefwahl Stralendorf"
"18","13076766","Briefwahl Wittenburg"
"17","13076767","Briefwahl Zarrentin"
"32","13076768","Briefwahl Crivitz"
