Ergebnisart;Datum;leer;leer;leer;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - CDU ;F02 - AfD ;F03 - DIE LINKE ;F04 - SPD ;F05 - GRÜNE ;F06 - FDP ;F07 - FREIE WÄHLER ;F08 - NPD ;F09 - Tierschutzpartei ;F10 - Tierschutzallianz ;F11 - LKR ;F12 - Die PARTEI ;F13 - Gartenpartei ;F14 - FBM ;F15 - TIERSCHUTZ hier! ;F16 - dieBasis ;F19 - Klimaliste ST ;F21 - ÖDP ;F22 - Die Humanisten ;F23 - Gesundheitsforschung ;F24 - PIRATEN ;F25 - WiR2020 ;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - CDU ;D02 - AfD ;D03 - DIE LINKE ;D04 - SPD ;D05 - GRÜNE ;D06 - FDP ;D07 - FREIE WÄHLER ;D08 - NPD ;D09 - Tierschutzpartei ;D10 - Tierschutzallianz ;D12 - Die PARTEI ;D13 - Gartenpartei ;D14 - FBM ;D16 - dieBasis ;D21 - ÖDP ;D26 - Andere KWV ;D27 - Andere KWV ;D28 - Andere KWV ;
E;06.06.2021;;;;GEM;15084125;Stadt Eckartsberga;1894;1028;18;1010;394;289;84;68;31;57;21;3;10;10;1;4;8;2;6;9;0;0;0;5;4;4;17;1011;376;300;115;86;27;71;;;;36;;;;;;;;;
E;06.06.2021;;;;GEM;15084130;Gemeinde Elsteraue;6877;4190;33;4157;1605;1069;409;261;132;302;132;28;36;11;1;24;28;3;23;39;2;0;5;26;14;7;48;4142;1125;1109;514;253;138;469;420;;;;;;;;;42;44;28;
E;06.06.2021;;;;GEM;15084132;Gemeinde Finne;955;556;9;547;249;131;53;40;17;26;5;1;3;4;0;3;2;1;1;5;1;0;1;1;2;1;10;546;247;141;59;48;12;27;;;;12;;;;;;;;;
E;06.06.2021;;;;GEM;15084133;Gemeinde Finneland;882;581;4;577;255;116;55;42;17;52;7;1;1;4;0;2;4;0;3;14;0;0;1;2;1;0;11;570;229;128;74;45;12;63;;;;19;;;;;;;;;
E;06.06.2021;;;;GEM;15084135;Stadt Freyburg (Unstrut);3870;2203;30;2173;953;494;209;118;80;150;62;2;19;5;0;22;12;1;8;16;0;4;0;7;8;3;30;2173;953;500;231;152;44;139;;;;;42;;;;;112;;;
E;06.06.2021;;;;GEM;15084150;Gemeinde Gleina;996;665;18;647;305;144;58;48;18;24;20;2;8;3;0;2;3;2;4;0;0;0;0;4;2;0;18;647;285;135;53;49;20;24;;;;;8;;;;;73;;;
E;06.06.2021;;;;GEM;15084170;Gemeinde Goseck;853;572;2;570;239;134;68;22;24;41;16;0;4;1;0;6;4;1;0;7;0;1;0;2;0;0;3;569;234;143;56;30;27;50;;;;;19;;;;;10;;;
E;06.06.2021;;;;GEM;15084207;Gemeinde Gutenborn;1445;1004;9;995;390;249;84;57;36;76;42;1;9;2;1;5;8;1;10;17;0;1;0;1;4;1;16;988;277;246;96;55;43;86;143;;;;;;;;;1;34;7;
E;06.06.2021;;;;GEM;15084235;Stadt Hohenmölsen;8142;4429;43;4386;1648;1102;497;412;112;288;72;18;37;5;0;29;22;4;23;71;3;4;2;19;12;6;55;4374;1197;1138;584;828;111;334;134;;;;;;;;;7;29;12;
E;06.06.2021;;;;GEM;15084246;Gemeinde Kaiserpfalz;1311;768;8;760;313;188;75;56;33;38;9;3;2;9;0;4;4;2;5;7;0;2;0;3;6;1;11;757;288;201;99;66;31;53;;;;19;;;;;;;;;
E;06.06.2021;;;;GEM;15084250;Gemeinde Karsdorf;1233;720;8;712;297;169;96;44;24;38;13;1;5;3;0;4;3;0;5;10;0;0;0;0;0;0;7;713;311;192;91;53;15;28;;;;;13;;;;;10;;;
E;06.06.2021;;;;GEM;15084275;Gemeinde Kretzschau;2031;1230;10;1220;453;350;126;72;29;81;43;10;7;1;1;6;10;0;8;12;0;2;1;5;1;2;31;1199;292;362;188;68;19;90;154;;;;;;;;;1;16;9;
E;06.06.2021;;;;GEM;15084282;Gemeinde Lanitz-Hassel-Tal;874;564;6;558;230;140;44;50;15;35;8;2;9;6;1;1;7;0;3;3;1;1;0;2;0;0;8;556;224;149;54;54;14;45;;;;16;;;;;;;;;
E;06.06.2021;;;;GEM;15084285;Stadt Laucha an der Unstrut;2359;1420;18;1402;593;367;108;103;41;84;20;12;13;2;6;11;11;2;6;16;1;0;0;2;2;2;23;1397;571;397;105;123;41;74;;;;;32;;;;;54;;;
E;06.06.2021;;;;GEM;15084315;Stadt Lützen;7056;4099;39;4060;1525;1068;325;389;157;236;77;4;48;17;1;37;31;4;18;77;3;2;3;20;10;8;46;4053;1180;1042;274;950;113;227;142;;;;75;;;;;50;;;
E;06.06.2021;;;;GEM;15084335;Gemeinde Mertendorf;1346;814;8;806;299;211;71;53;29;67;12;1;12;0;0;11;5;1;8;15;0;3;1;4;1;2;8;806;299;228;68;55;20;66;;;;;29;;;;;41;;;
E;06.06.2021;;;;GEM;15084341;Gemeinde Molauer Land;878;502;7;495;178;129;47;50;12;34;5;1;6;0;0;8;4;0;2;15;1;0;0;1;2;0;6;496;180;136;50;44;11;33;;;;;14;;;;;28;;;
E;06.06.2021;;;;GEM;15084355;Stadt Naumburg (Saale);26632;15118;144;14974;6083;3210;1488;1032;878;978;219;39;179;42;6;203;81;18;71;274;6;24;20;53;48;22;148;14970;6500;3256;1338;1151;612;815;;;;;567;;;;;731;;;
E;06.06.2021;;;;GEM;15084360;Stadt Nebra (Unstrut);2571;1559;6;1553;588;435;175;115;31;96;23;7;19;9;1;9;7;2;9;11;0;0;2;10;3;1;6;1553;541;474;185;149;22;103;;;;;32;;;;;47;;;
E;06.06.2021;;;;GEM;15084375;Stadt Osterfeld;1993;1167;10;1157;475;281;125;84;20;61;24;4;14;2;1;11;6;1;8;28;0;0;1;4;5;2;11;1156;459;323;130;115;10;56;;;;;28;;;;;35;;;
E;06.06.2021;;;;GEM;15084442;Gemeinde Schnaudertal;758;535;8;527;167;197;42;26;5;38;12;1;7;1;2;7;5;0;3;12;0;0;0;1;0;1;8;527;152;185;56;32;8;37;41;;;;;;;;;0;11;5;
E;06.06.2021;;;;GEM;15084445;Gemeinde Schönburg;847;573;4;569;227;145;44;28;24;49;13;0;5;3;1;6;4;2;0;13;0;0;0;0;4;1;4;569;244;149;35;35;15;29;;;;;16;;;;;46;;;
