state,election,election_l1,wkr,wkr_name,party,resp_E,resp_Z,res_l1_E,res_l1_Z,no_cand_l1,source
MV,2016,2011,22,Mecklenburgische Seenplatte V,spd,0.245865,0.262706,0.298144,0.346383,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,22,Mecklenburgische Seenplatte V,afd,0.259247,0.240743,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,22,Mecklenburgische Seenplatte V,cdu,0.265797,0.218546,0.368683,0.290777,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,22,Mecklenburgische Seenplatte V,linke,0.131932,0.119902,0.180117,0.16612,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,22,Mecklenburgische Seenplatte V,gruene,0.029732,0.032944,0.059843,0.055983,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,22,Mecklenburgische Seenplatte V,fdp,0.035527,0.025951,0.027969,0.025437,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,22,Mecklenburgische Seenplatte V,others,0.031899,0.099207,0.065244,0.1153,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,23,Vorpommern-Rügen I,spd,0.273483,0.303259,0.327732,0.343895,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,23,Vorpommern-Rügen I,afd,0.20487,0.20603,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,23,Vorpommern-Rügen I,cdu,0.273252,0.229911,0.338179,0.28717,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,23,Vorpommern-Rügen I,linke,0.120732,0.115947,0.179703,0.177598,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,23,Vorpommern-Rügen I,gruene,0.02934,0.036006,0.072246,0.067472,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,23,Vorpommern-Rügen I,fdp,0.028647,0.027661,0.03311,0.031077,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,23,Vorpommern-Rügen I,others,0.069676,0.081186,0.04903,0.092788,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,24,Vorpommern-Rügen II - Stralsund III,spd,0.167562,0.235626,0.18821,0.270874,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,24,Vorpommern-Rügen II - Stralsund III,afd,0.214806,0.230676,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,24,Vorpommern-Rügen II - Stralsund III,cdu,0.428142,0.276621,0.483178,0.364527,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,24,Vorpommern-Rügen II - Stralsund III,linke,0.140583,0.114482,0.200144,0.186507,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,24,Vorpommern-Rügen II - Stralsund III,gruene,0.048907,0.036616,0.054996,0.05506,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,24,Vorpommern-Rügen II - Stralsund III,fdp,0.0,0.024749,0.0156,0.021182,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,24,Vorpommern-Rügen II - Stralsund III,others,0.0,0.081229,0.057872,0.10185,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,25,Vorpommern-Rügen III - Stralsund I,spd,0.236311,0.272923,0.263399,0.314315,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,25,Vorpommern-Rügen III - Stralsund I,afd,0.262354,0.247205,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,25,Vorpommern-Rügen III - Stralsund I,cdu,0.267195,0.210138,0.33741,0.291098,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,25,Vorpommern-Rügen III - Stralsund I,linke,0.148331,0.11857,0.216401,0.194338,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,25,Vorpommern-Rügen III - Stralsund I,gruene,0.041736,0.038267,0.054413,0.059027,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,25,Vorpommern-Rügen III - Stralsund I,fdp,0.044073,0.028203,0.036693,0.025284,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,25,Vorpommern-Rügen III - Stralsund I,others,0.0,0.084693,0.091684,0.115939,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,26,Stralsund II,spd,0.208982,0.2363,0.267812,0.280268,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,26,Stralsund II,afd,0.21903,0.217606,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,26,Stralsund II,cdu,0.22246,0.226037,0.33798,0.291667,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,26,Stralsund II,linke,0.123453,0.110697,0.180236,0.168053,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,26,Stralsund II,gruene,0.098885,0.084856,0.138874,0.111291,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,26,Stralsund II,fdp,0.03578,0.035372,0.023954,0.027803,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,26,Stralsund II,others,0.09141,0.089132,0.051144,0.120918,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,27,Nordwestmecklenburg I,spd,0.38493,0.361524,0.404804,0.417564,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,27,Nordwestmecklenburg I,afd,0.188725,0.179732,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,27,Nordwestmecklenburg I,cdu,0.18552,0.181571,0.224435,0.203462,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,27,Nordwestmecklenburg I,linke,0.152174,0.125313,0.189244,0.164385,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,27,Nordwestmecklenburg I,gruene,0.041341,0.052728,0.094445,0.090295,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,27,Nordwestmecklenburg I,fdp,0.022734,0.027283,0.020311,0.025609,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,27,Nordwestmecklenburg I,others,0.024576,0.071849,0.066761,0.098684,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,28,Nordwestmecklenburg II,spd,0.319165,0.343985,0.390834,0.405451,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,28,Nordwestmecklenburg II,afd,0.230938,0.200776,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,28,Nordwestmecklenburg II,cdu,0.204508,0.180935,0.26106,0.217304,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,28,Nordwestmecklenburg II,linke,0.138211,0.119217,0.172024,0.167853,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,28,Nordwestmecklenburg II,gruene,0.040881,0.040965,0.07714,0.078408,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,28,Nordwestmecklenburg II,fdp,0.035636,0.031888,0.028087,0.027573,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,28,Nordwestmecklenburg II,others,0.030661,0.082234,0.070855,0.10341,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,29,Vorpommern-Greifswald II,spd,0.183663,0.226704,0.231071,0.298365,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,29,Vorpommern-Greifswald II,afd,0.316022,0.276382,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,29,Vorpommern-Greifswald II,cdu,0.230108,0.194375,0.319763,0.268026,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,29,Vorpommern-Greifswald II,linke,0.163996,0.117331,0.202763,0.177793,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,29,Vorpommern-Greifswald II,gruene,0.040279,0.033804,0.071006,0.061622,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,29,Vorpommern-Greifswald II,fdp,0.065932,0.035727,0.069855,0.038095,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,29,Vorpommern-Greifswald II,others,0.0,0.115677,0.105541,0.156099,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,30,Vorpommern-Greifswald III,spd,0.177677,0.187843,0.245052,0.281778,0,ltw11-21_meckpom_abs.csv
