state,party,name,norm_name,match_how,aw_name,aw_party,aw_politician_id,aw_url,aw_wkr,aw_list_pos,source
ST,fdp,Birgit Kansy,birgit kansy,exact,Birgit Kansy,fdp,185674,https://www.abgeordnetenwatch.de/profile/birgit-kansy,41,,abgeordnetenwatch
ST,fdp,Björn Wasserthal,bjoern wasserthal,exact,Björn Wasserthal,fdp,185055,https://www.abgeordnetenwatch.de/profile/bjoern-wasserthal,8,14,abgeordnetenwatch
ST,fdp,Christian Daehre,christian daehre,exact,Christian Daehre,fdp,185057,https://www.abgeordnetenwatch.de/profile/christian-daehre,11,19,abgeordnetenwatch
ST,fdp,Daniela Tost,daniela tost,exact,Daniela Tost,fdp,185058,https://www.abgeordnetenwatch.de/profile/daniela-tost,13,20,abgeordnetenwatch
ST,fdp,Dirk Taschner,dirk taschner,exact,Dirk Taschner,fdp,185070,https://www.abgeordnetenwatch.de/profile/dirk-taschner,34,,abgeordnetenwatch
ST,fdp,Dr. Frank Odemar,frank odemar,exact,Frank Odemar,fdp,185062,https://www.abgeordnetenwatch.de/profile/frank-odemar,21,18,abgeordnetenwatch
ST,fdp,Dr. Lydia Maria Hüskens,lydia maria hueskens,first_last,Lydia Hüskens,fdp,124235,https://www.abgeordnetenwatch.de/profile/lydia-hueskens,10,1,abgeordnetenwatch
ST,fdp,Dr. Maximilian Philipp,maximilian philipp,exact,Maximilian Philipp,fdp,185068,https://www.abgeordnetenwatch.de/profile/maximilian-philipp,29,6,abgeordnetenwatch
ST,fdp,Felix Julius Krüger,felix julius krueger,exact,Felix Julius Krüger,fdp,185059,https://www.abgeordnetenwatch.de/profile/felix-julius-krueger,14,,abgeordnetenwatch
ST,fdp,Florian Pascal Feger,florian pascal feger,exact,Florian Pascal Feger,fdp,185060,https://www.abgeordnetenwatch.de/profile/florian-pascal-feger,17,8,abgeordnetenwatch
ST,fdp,Guido Lars Kosmehl,guido lars kosmehl,first_last,Guido Kosmehl,fdp,124160,https://www.abgeordnetenwatch.de/profile/guido-kosmehl,28,5,abgeordnetenwatch
ST,fdp,Gunnar Blache,gunnar blache,exact,Gunnar Blache,fdp,175055,https://www.abgeordnetenwatch.de/profile/gunnar-blache,40,,abgeordnetenwatch
