electiondate,land,electiondate_l1,party,vote_share,on_ballot,vote_share_l1
1990-10-14,th,NA,cdu,45.400001525878906,1,NA
1994-10-16,th,1990-10-14,cdu,42.599998474121094,1,45.400001525878906
1999-09-12,th,1994-10-16,cdu,51,1,42.599998474121094
2004-06-13,th,1999-09-12,cdu,43,1,51
2009-08-30,th,2004-06-13,cdu,31.200000762939453,1,43
2014-09-14,th,2009-08-30,cdu,33.5,1,31.200000762939453
2019-10-27,th,2014-09-14,cdu,21.7,1,33.5
1990-10-14,th,NA,fdp,9.300000190734863,1,NA
1994-10-16,th,1990-10-14,fdp,3.200000047683716,1,9.300000190734863
1999-09-12,th,1994-10-16,fdp,1.100000023841858,1,3.200000047683716
2004-06-13,th,1999-09-12,fdp,3.5999999046325684,1,1.100000023841858
2009-08-30,th,2004-06-13,fdp,7.599999904632568,1,3.5999999046325684
2014-09-14,th,2009-08-30,fdp,2.5,1,7.599999904632568
2019-10-27,th,2014-09-14,fdp,5,1,2.5
2019-10-27,th,2014-09-14,fw,NA,0,NA
1990-10-14,th,NA,gru,6.5,1,NA
1994-10-16,th,1990-10-14,gru,4.5,1,6.5
1999-09-12,th,1994-10-16,gru,1.899999976158142,1,4.5
2004-06-13,th,1999-09-12,gru,4.5,1,1.899999976158142
2009-08-30,th,2004-06-13,gru,6.199999809265137,1,4.5
2014-09-14,th,2009-08-30,gru,5.699999809265137,1,6.199999809265137
2019-10-27,th,2014-09-14,gru,5.2,1,5.699999809265137
1990-10-14,th,NA,lin,9.699999809265137,1,NA
1994-10-16,th,1990-10-14,lin,16.600000381469727,1,9.699999809265137
1999-09-12,th,1994-10-16,lin,21.399999618530273,1,16.600000381469727
2004-06-13,th,1999-09-12,lin,26.100000381469727,1,21.399999618530273
2009-08-30,th,2004-06-13,lin,27.399999618530273,1,26.100000381469727
2014-09-14,th,2009-08-30,lin,28.200000762939453,1,27.399999618530273
2019-10-27,th,2014-09-14,lin,31,1,28.200000762939453
2004-06-13,th,1999-09-12,npd,1.600000023841858,1,NA
2009-08-30,th,2004-06-13,npd,4.300000190734863,1,1.600000023841858
2014-09-14,th,2009-08-30,npd,3.5999999046325684,1,4.300000190734863
2019-10-27,th,2014-09-14,npd,NA,0,3.5999999046325684
2019-10-27,th,2014-09-14,pir,NA,0,NA
1990-10-14,th,NA,spd,22.799999237060547,1,NA
1994-10-16,th,1990-10-14,spd,29.600000381469727,1,22.799999237060547
1999-09-12,th,1994-10-16,spd,18.5,1,29.600000381469727
2004-06-13,th,1999-09-12,spd,14.5,1,18.5
2009-08-30,th,2004-06-13,spd,18.5,1,14.5
2014-09-14,th,2009-08-30,spd,12.399999618530273,1,18.5
2019-10-27,th,2014-09-14,spd,8.2,1,12.399999618530273
