wkr,party,partei,name,source
23,fdp,FDP,Brian Kipke,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
23,gruene,GRÜNE,Maya Tischler,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
23,linke,LINKE,Wenke Brüdgam,https://kampagne26.die-linke-mv.de/direktkandidierende/
23,spd,SPD,Michel-Friedrich Schiefler,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
24,afd,AfD,Carlos Rodrigues,https://afd-mv.de/blaue-wende-2026/#Kandidaten
24,bsw,BSW,Hanno Bogan,https://mv.bsw-vg.de/unsere-direktkandidaten/
24,cdu,CDU/CSU,Harry Glawe,https://cdu-mv.de/landtagskandidaten2026cdumv/
24,fdp,FDP,Maria Ellen Schulzki,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
24,gruene,GRÜNE,Ralf Metka,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
24,linke,LINKE,Armin Latendorf,https://kampagne26.die-linke-mv.de/direktkandidierende/
24,spd,SPD,Dr. Monique Wölk,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
25,afd,AfD,Sandra Graf,https://afd-mv.de/blaue-wende-2026/#Kandidaten
25,bsw,BSW,Marcel Szymanski,https://mv.bsw-vg.de/unsere-direktkandidaten/
25,cdu,CDU/CSU,Christian Rotkowsky,https://cdu-mv.de/landtagskandidaten2026cdumv/
25,fdp,FDP,Sebastian Alms,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
25,gruene,GRÜNE,Thomas Mehnert,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
25,linke,LINKE,Jonas Löffler,https://kampagne26.die-linke-mv.de/direktkandidierende/
25,spd,SPD,Thomas Würdisch,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
26,afd,AfD,Michael Kasch,https://afd-mv.de/blaue-wende-2026/#Kandidaten
26,bsw,BSW,Jennifer Michelle Rath,https://mv.bsw-vg.de/unsere-direktkandidaten/
26,cdu,CDU/CSU,Ann Christin von allwörden,https://cdu-mv.de/landtagskandidaten2026cdumv/
26,fdp,FDP,Gerd Scharmberg,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
26,gruene,GRÜNE,Claudia Müller,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
26,linke,LINKE,Morgan Varbelow,https://kampagne26.die-linke-mv.de/direktkandidierende/
26,spd,SPD,Beatrix Hegenkötter,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
27,afd,AfD,Jannik Schreiber,https://afd-mv.de/blaue-wende-2026/#Kandidaten
27,bsw,BSW,Winfried Schmidt,https://mv.bsw-vg.de/unsere-direktkandidaten/
27,cdu,CDU/CSU,Thomas Grote,https://cdu-mv.de/landtagskandidaten2026cdumv/
27,fdp,FDP,Luise Vogler,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
27,gruene,GRÜNE,Miro Zahra,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
27,linke,LINKE,Simone Oldenburg,https://kampagne26.die-linke-mv.de/direktkandidierende/
27,spd,SPD,Birgit Hesse,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
28,afd,AfD,Paul Timm,https://afd-mv.de/blaue-wende-2026/#Kandidaten
28,bsw,BSW,Meinhard Guhl,https://mv.bsw-vg.de/unsere-direktkandidaten/
