adresse,bezirk,art,wkr,gueltig,wber,truth_spd,base_spd,truth_cdu,base_cdu,truth_gruene,base_gruene,truth_linke,base_linke,truth_afd,base_afd,truth_fdp,base_fdp,truth_others,base_others
04B4F,04,B,26,284.0,0.0,19.366,22.491,32.746,18.685,24.648,20.761,5.282,8.304,2.465,9.343,6.338,13.495,9.155,6.92
04B4G,04,B,26,325.0,0.0,21.846,22.373,28.615,19.322,24.0,21.695,6.769,8.136,5.846,8.475,6.462,13.559,6.462,6.441
04B4H,04,B,26,433.0,0.0,19.63,22.635,26.328,19.257,30.716,21.959,7.852,7.77,3.464,8.446,7.39,13.851,4.619,6.081
04B4I,04,B,26,276.0,0.0,18.478,22.222,25.362,18.889,32.971,22.222,6.522,8.148,5.797,8.519,4.71,13.704,6.159,6.296
04B4J,04,B,26,348.0,0.0,15.805,22.041,25.862,19.184,37.069,22.041,5.747,8.163,1.724,8.571,8.621,13.878,5.172,6.122
04B4K,04,B,26,497.0,0.0,17.103,23.05,27.163,19.149,28.773,21.631,8.451,7.801,3.018,8.511,6.036,14.894,9.457,4.965
04B4L,04,B,26,262.0,0.0,18.702,21.649,25.191,19.244,27.481,22.337,8.779,7.904,6.107,8.591,8.397,14.777,5.344,5.498
04B4M,04,B,26,327.0,0.0,23.547,21.691,25.688,19.118,23.853,22.059,3.976,8.088,4.587,8.456,11.315,14.706,7.034,5.882
04B4N,04,B,26,558.0,0.0,22.939,22.945,28.674,20.205,23.477,19.863,6.452,7.877,2.867,9.247,10.573,15.068,5.018,4.795
04B4P,04,B,26,260.0,0.0,20.769,22.794,34.231,19.485,20.385,20.956,5.385,7.721,4.231,8.456,10.385,15.809,4.615,4.779
04B4Q,04,B,26,644.0,0.0,18.168,22.886,32.453,19.403,27.329,20.896,6.522,7.96,3.416,8.209,7.453,17.164,4.658,3.483
04B4R,04,B,26,356.0,0.0,21.067,21.429,28.09,19.156,19.944,22.727,9.831,8.117,2.809,8.442,11.517,14.935,6.742,5.195
04B4S,04,B,26,446.0,0.0,19.507,21.516,34.529,21.76,18.161,18.826,5.83,7.335,2.691,9.291,14.35,16.87,4.933,4.401
04B4T,04,B,26,454.0,0.0,18.943,21.451,36.784,20.189,20.044,20.189,6.608,7.571,3.744,9.148,7.93,17.35,5.947,4.101
04B4U,04,B,26,213.0,0.0,18.779,21.875,43.662,20.703,15.962,20.312,2.817,7.812,2.347,8.984,10.329,15.625,6.103,4.688
04B4V,04,B,26,359.0,0.0,23.398,21.725,36.212,20.128,20.613,20.447,5.014,7.348,2.507,9.265,9.471,17.252,2.786,3.834
04B4W,04,B,26,407.0,0.0,22.359,21.782,39.312,20.132,14.988,20.462,4.423,7.591,3.44,9.241,10.565,17.162,4.914,3.63
04B4X,04,B,26,425.0,0.0,15.294,23.194,34.588,20.152,24.235,20.532,4.706,8.365,4.471,9.506,9.176,14.449,7.529,3.802
04B4Y,04,B,26,393.0,0.0,24.173,22.747,24.427,20.172,27.99,21.888,7.634,7.725,0.763,8.584,8.397,14.592,6.616,4.292
